patient_id,fold,k,strategy,replicate,observed_frame_indices_json,estimator_visible_tensors,scoring_only_tensors
patient006,0,7,uniform,0,"[0, 4, 8, 12, 15, 19, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient006,0,7,random,0,"[5, 7, 13, 14, 17, 20, 22]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient006,0,7,random,1,"[0, 3, 5, 6, 11, 16, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient006,0,7,random,2,"[1, 5, 6, 16, 18, 21, 22]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient006,0,7,random,3,"[2, 5, 6, 7, 9, 11, 18]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient006,0,7,random,4,"[3, 6, 8, 10, 12, 17, 21]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient006,0,7,clustered,0,"[6, 7, 9, 10, 11, 13, 14]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient006,0,7,clustered,1,"[5, 6, 8, 9, 10, 12, 13]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient006,0,7,clustered,2,"[3, 4, 6, 7, 8, 10, 11]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient006,0,7,clustered,3,"[0, 1, 3, 4, 5, 7, 8]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient006,0,7,clustered,4,"[4, 5, 7, 8, 9, 11, 12]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient021,0,7,uniform,0,"[0, 4, 8, 12, 15, 19, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient021,0,7,random,0,"[0, 2, 5, 7, 12, 17, 19]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient021,0,7,random,1,"[7, 9, 11, 12, 14, 19, 23]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient021,0,7,random,2,"[0, 3, 5, 10, 12, 13, 19]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient021,0,7,random,3,"[2, 4, 6, 9, 16, 19, 20]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
patient021,0,7,random,4,"[0, 2, 10, 11, 12, 14, 22]","observed_images,observed_times,full_time_grid","hidden_images,full_cycle_masks"
